?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
TO-0001,X0040V1VX1,B0CM5ZYW4R,US,56.04,31,12.25,4.25,64,inches,15.64,pounds
LEK-002,X0040UWVJZ,B0CM68NL2X,US,22.49,11.54,11.54,5.67,45.96,inches,6,pounds
WT-001,X0040USON7,B0CM64LJ4T,US,49.99,8.94,8.94,4.09,35,inches,7.12,pounds
HX-0001,X0040UIUEP,B0CM5CYTNW,US,30.99,14.53,5.94,1.54,29.49,inches,2.2,pounds
VSFL6450,X0040PXVKN,B0CLXV5NZB,US,419.99,45.8,26.7,4.8,108.8,inches,22.45,pounds
VSFW005-Blue,X0040O6DVD,B0CLVB5YRP,US,49.99,28.3,19.3,6.3,79.5,inches,12.15,pounds
VG-Y18B,X0040AZHNR,B0CL9VRP1C,US,599.99,46,21,7.5,103,inches,51.4,pounds
PL-0004,X004088OWF,B0CL6FWGN7,US,89.99,19.72,18.9,8.03,73.58,inches,29.19,pounds
GH-0012W,X004044WSJ,B0CL4JSP8P,US,35.99,28,19,3,72,inches,11.25,pounds
WP-0005,X003ZWN8UZ,B0CKWXF9V4,US,129.99,16.5,12,11.5,63.5,inches,24.3,pounds
CFPB-8,X003YCNGI5,B0CH7Z32KC,US,12.49,9.37,9.09,1.54,30.63,inches,0.22,pounds
CFPB-6,X003YCNFYF,B0CH7Z46B1,US,9.99,7.17,6.89,1.54,24.02,inches,0.11,pounds
CFPW-8,X003YCNEWD,B0CH829BQ2,US,12.99,9.25,8.46,1.57,29.31,inches,0.18,pounds
CFPW-6,X003YCJOU9,B0CH7XQ4T5,US,9.99,7.25,7,1,23.25,inches,0.13,pounds
CFPW-4,X003YCJOBD,B0CH81FGVN,US,9.99,5.47,5.39,1.57,19.39,inches,0.01,pounds
305140-PEN,X003Y7ZWY1,B0CGZYKSGK,US,18.04,6.93,3.9,1.26,17.25,inches,0.44,pounds
OUL-001-6,X003XYGFWD,B0CGLC75CS,US,69.99,15.79,9.37,4.45,43.43,inches,3.46,pounds
OUL-001-12,X003XYA3J9,B0CGL8SV7B,US,99.99,21.75,14,4,57.75,inches,6.5,pounds
304113-P105,X003XWZA71,B0CGHJMJGT,US,329.99,62,19,8,116,inches,62.17,pounds
304113-P448,X003XWZ4K9,B0CGHFFR4R,US,179.99,49.2,12.8,7,88.8,inches,45.25,pounds
304113-P558,X003XWXHU3,B0CGHL4R3F,US,219.99,61,12.6,6.7,99.6,inches,54,pounds
304113-P848,X003XWWYM5,B0CGHPVX9S,US,269.99,49,19,8,103,inches,74.3,pounds
304113-P276,X003XWVU2P,B0CGHJ3F21,US,119.99,33.5,12.9,6.4,72.1,inches,26.25,pounds
304113-P108,X003XWUUJJ,B0CGHLTX88,US,499.99,61,23,11,129,inches,142,pounds
304113-P336,X003XWUTE5,B0CGHJG44R,US,149.99,37.75,13,6.5,76.75,inches,33.55,pounds
304113-P224,X003XWUBH5,B0CGHDFN7T,US,99.99,25.5,13,6.6,64.7,inches,18.4,pounds
304113-P888,X003XWSR3Z,B0CGHMPZ9R,US,399.99,49,23,11,117,inches,94.36,pounds
304113-P426,X003XWP6V1,B0CGHKN4TV,US,139.99,49,13,6,87,inches,33.35,pounds
HR-0001B,X003XOJAP7,B0CG1NKCC6,US,89.99,41.4,8.85,6.2,71.5,inches,18.9,pounds
HR-0002B,X003XOJ0V1,B0CG1P8QZZ,US,99.99,58,9.5,5,87,inches,24,pounds
HR-0000B,X003XOGWOJ,B0CG1MWVFW,US,75.99,37.4,8.4,5.9,66,inches,14.8,pounds
SPray-2L-BG,X003XO0I1H,B0CFZWSP22,US,19.79,12.76,5.91,5.79,36.16,inches,1.17,pounds
FPS-002,X003XMHQ9L,B0CFXYPDN1,US,67.99,35.5,7.25,5.25,60.5,inches,18.4,pounds
DCC-001,X003XMEA4F,B0CFY267YZ,US,56.99,35.6,10.4,9.5,75.4,inches,15.95,pounds
VSFW001-BLUE-ZYJ,X003XMC4FR,B08LG2ZRB5,US,79.99,27.9,12.5,8.9,70.7,inches,21.56,pounds
FPS-004,X003XMB3GN,B0CFXYYPX4,US,116.99,35.6,9.8,6.5,68.2,inches,36.05,pounds
FPS-003,X003XMB1UV,B0CFXYDNNM,US,89.99,35.5,8.5,7.6,67.7,inches,27.1,pounds
FPS-001,X003XM62S7,B0CFXY6BK4,US,39.99,36.9,7.4,3.3,58.3,inches,9.6,pounds
VSV-WVK1,X003XLYAP5,B0CFX9CQ4H,US,32.39,17.24,7.24,3.82,39.36,inches,3.75,pounds
VSFW001-Green-ZY,X003XILQ69,B0C4GCW5WW,US,79.99,27,12,9,69,inches,21.55,pounds
SPray-OR-8L,X003XH27BD,B0CFLDFYSL,US,29.59,21.5,7.4,7.1,50.5,inches,3.4,pounds
SPray-OR-5L,X003XGZY5Z,B0CFLG7BCP,US,21.59,17.87,7.52,7.36,47.63,inches,2.98,pounds
SPray-OR-3L,X003XGYFH3,B0CFLF4J8N,US,19.99,15.5,7,7,43.5,inches,2.51,pounds
VSFW006,X003XDMKWD,B0CFFHDXL5,US,47.99,22,11.5,9,63,inches,19.9,pounds
SPF-001,X003XDCU19,B0CFDZH8VM,US,49.99,15.27,13.54,2.28,46.91,inches,5,pounds
CP-0002,X003XBQ3TL,B0CF995HKV,US,50.99,12.09,8.82,6.61,42.95,inches,6.28,pounds
SP-004,X003X0Q7J3,B0CDK3S2KR,US,59.99,12.44,12.32,11.97,61.02,inches,10.03,pounds
VSFW001-Black-ZYJ,X003WOY6WF,B07SBZ2ZJ9,US,79.99,27,11.8,9.1,68.8,inches,21.45,pounds
HR-0002A,X003WHI67X,B0CCJ5B2FM,US,79.99,57,8,4.5,82,inches,18.7,pounds
HR-0001A,X003WHDB87,B0CCJ4ZCY4,US,66.49,41,6.7,5.7,65.8,inches,15.3,pounds
CC-001-6,X003WBQYCN,B0CC51TLTH,US,25.49,12.24,8.54,5.79,40.9,inches,8.51,pounds
CC-001,X003WBNAK7,B0CC5373Y7,US,8.99,8.66,3.98,2.44,21.5,inches,1.43,pounds
CC-001-3,X003WBN2FF,B0CC4Y712L,US,15.29,13.58,13.11,3.35,46.5,inches,4.43,pounds
CC-002,X003WBF75X,B0CC4ZWT88,US,28.79,14.72,11.77,6.14,50.54,inches,11.11,pounds
VSVC-AZG8,X003W4EHO7,B0CBRQW2KW,US,249.99,28,23,12.5,99,inches,34.9,pounds
VSVC-AZG6,X003W4D4LJ,B0CBRQKVVN,US,149.99,37,11.5,10.5,81,inches,21.6,pounds
VSVC-AZG4,X003W4A5JD,B0CBRLZJHL,US,113.99,19.4,18.9,9,75.2,inches,15.7,pounds
VSVC-AZG4E42A,X003W46JQB,B0CBRSM7H7,US,159.99,19.4,18.8,9,75,inches,16.65,pounds
VSVC-AZG6E42A,X003W3U5IZ,B0CBRPS1N8,US,189.99,36.5,11.1,10.5,79.7,inches,22.05,pounds
VSVC-AZG8E42A,X003W3SXTD,B0CBRRD7SP,US,269.99,27,22.25,13,97.5,inches,36.7,pounds
VSVC-AZT4,X003W2EVTF,B0CBPDTSKS,US,129.99,19.1,18.8,9.1,74.9,inches,14.75,pounds
VSVC-AZT6E42A,X003W2AWRF,B0CBPK262W,US,185.99,36.5,11,10.5,79.5,inches,21.1,pounds
VSVC-AZT4E42A,X003W2AUNV,B0CBPHLMKY,US,169.99,19,18.5,9,74,inches,14.8,pounds
VSVC-AZT6,X003W2ARM5,B0CBPGTTYW,US,169.99,36.7,10.9,10.5,79.5,inches,18.95,pounds
VSV-IFA6,X003VU3P5T,B0CB8FBWCL,US,28.99,9.1,8.7,8.6,43.7,inches,3.4,pounds
VSV-IFA8,X003VTY9J1,B0CB8GPK43,US,32.99,10.6,10,8.6,47.8,inches,4.19,pounds
VSV-IFA4,X003VTWZSD,B0CB8FQ567,US,19.99,7.36,6.89,6.61,34.37,inches,1.87,pounds
VSFW005-Black,X003VOL9HL,B0C9ZD37Y8,US,39.99,28,18.7,6.6,78.6,inches,12.05,pounds
VSF-AWE6-Gx2,X003UW04U7,B0C7ZJ8Y71,US,79.99,19,9.5,7.25,52.5,inches,4.55,pounds
HDR004x2,X003UVQ169,B0C7Z5R79F,US,34.99,9.92,9.88,7.95,45.58,inches,3.04,pounds
HDR006x2,X003UVOKIZ,B0C7Z6XJCP,US,44.99,10,9.88,7.95,45.66,inches,3.75,pounds
HDR008x2,X003UVIRUR,B0C7Z5H98K,US,46.99,10.2,10.04,7.95,46.18,inches,4.56,pounds
VSV-TF13-W,X003UU8ATB,B0C7VW19BS,US,36.99,15.43,5.94,5.91,39.13,inches,3.13,pounds
VSV-AZG8,X003UBLZZL,B0C6SDK8WD,US,119.99,16.1,11.9,11.4,62.7,inches,9.79,pounds
VSV-AZG8E42A,X003UBKMW3,B0C6SCF6R1,US,149.99,15.75,12,11.5,62.75,inches,10.55,pounds
VSV-AZG6E42A,X003UA90D1,B0C6QKDG53,US,85.99,13.5,10.5,9,52.5,inches,8.1,pounds
VSV-AZG4,X003UA8US7,B0C6QG963B,US,62.99,12.8,9.61,7.76,47.54,inches,5.38,pounds
VSV-AZG4E42A,X003UA68QD,B0C6QK97P2,US,99.99,12.91,9.49,7.8,47.49,inches,6.28,pounds
VSV-AZG6,X003UA1PVV,B0C6QJVMD1,US,69.99,13.25,10.25,9,51.75,inches,7.25,pounds
GH-0017,X003U7WDHJ,B0C6LDZNDD,US,45.99,21.4,21.4,2.5,69.2,inches,6.7,pounds
GH-0016,X003U7PDCB,B0C6LG8X1L,US,55.99,24.75,24.5,3,79.75,inches,8.1,pounds
VSF-AWE6Wx2,X003U6MUT1,B0C6JR9Y9D,US,79.99,19,9.5,7.4,52.8,inches,4.55,pounds
RP-002,X003TRYZO9,B0C5MD1DW5,US,31.49,15.12,11.69,5.67,49.84,inches,4.3,pounds
RP-001,X003TRYVNT,B0C5MBVTR9,US,26.99,11.73,11.42,5.71,45.99,inches,2.84,pounds
VSF-R410-B,X003TH9NLJ,B0C4S82H6W,US,49.99,15.35,6.18,2.68,33.07,inches,2.07,pounds
VSF-R410-W,X003TFKIIX,B0C4S397J4,US,32.99,15.27,6.3,2.68,33.23,inches,2.07,pounds
PP-30-2,X003SWY3L5,B0C3LM52N5,US,16.19,13.43,6.14,3.11,31.93,inches,1.21,pounds
PP-30-4,X003SWOKCH,B0C3LK4RZC,US,21.59,13.86,12.24,3.11,44.56,inches,2.47,pounds
PP-30-1,X003SWOFG3,B0C3LHGRQ7,US,9.99,12.87,3.11,3.07,25.23,inches,0.46,pounds
VSF-AWE6G,X003STFGMX,B0C3CGNZQG,US,45.99,9.8,9.49,7.28,43.34,inches,2.31,pounds
NB-001J,X003SMLWKP,B0BWDZR3DG,US,35.99,7.83,6.61,5.51,32.07,inches,5.18,pounds
EH-0002,X003SK3LZB,B0C2TRJ3C6,US,39.99,11.38,8.82,7.8,44.62,inches,3.92,pounds
VSV-AZS6,X003SD8U4Z,B0C2C8NP5D,US,70.99,14,11,10,56,inches,5.95,pounds
SGS-SE1T4E42A,X003SCW9WF,B0C2C97QWM,US,149.99,16.5,14.5,12,69.5,inches,13.5,pounds
VSV-AZS4,X003SCW8ZN,B0C2C8KBBW,US,79.99,14.41,8.07,6.93,44.41,inches,5.31,pounds
SGS-SE1S4E42A,X003SCW7HR,B0C2CBFJN4,US,139.99,16.5,14.25,12,69,inches,13.68,pounds
HGKB-54,X003SBATUZ,B0C27LWCK8,US,80.74,31.25,10.75,7.5,67.75,inches,12.5,pounds
SDP-001,X003SB1KSZ,B0C2766D1S,US,99.99,16.14,10.87,7.91,53.7,inches,25.9,pounds
SDP-002,X003SAOOZ7,B0C26WQLWM,US,138.99,15.5,10,7.95,51.4,inches,26.5,pounds
LH-001-2,X003S9OVXD,B0C2436JDR,US,13.99,5.71,5.28,1.77,19.81,inches,0.71,pounds
LH-001-6,X003S9ER5Z,B0C23Z53BP,US,26.99,7.91,5.71,3.31,25.95,inches,2.09,pounds
330101x6,X003S7N9A1,B0C1Z2XBWS,US,63.99,10.63,7.17,3.54,32.05,inches,4.41,pounds
VSS-THSP,X003S7N0MN,B0C1Z462XW,US,9.99,7.44,2.5,1.1,14.64,inches,0.18,pounds
330103x2,X003S7MNPD,B0C1Z2WB7H,US,55.19,21.5,4,3.85,37.2,inches,5.55,pounds
330302,X003S7HYBV,B0C1Z2Y6X2,US,32.39,20.35,2.78,2.7,31.31,inches,1.55,pounds
330101x4,X003S7BF61,B0C1Z4F535,US,43.19,10.51,6.02,3.39,29.33,inches,3,pounds
330303,X003S77KAB,B0C1Z2RWM7,US,41.39,21.25,3.25,3.25,34.25,inches,3,pounds
ST-0002,X003S765HZ,B0C1YD7TKB,US,49.99,35.7,9.5,6.1,66.9,inches,7.55,pounds
ST-003,X003S48ZW1,B0C1RT1WKN,US,6.19,12.8,4.02,1.46,23.76,inches,0.2,pounds
GH-0012P,X003S31BG9,B0C1NG6Q92,US,39.99,27.8,18.8,3.6,72.6,inches,10.7,pounds
GAT-002,X003S2D4I3,B0C1MHLZSC,US,59.84,44.7,13.3,3.9,79.1,inches,17.2,pounds
CHTrimer-03J,X003RZWXX3,B0C1GVV77K,US,119.99,33.46,7.09,6.3,60.24,inches,8.02,pounds
VSS-RJ11,X003RXUHZ1,B0C1BKGVB6,US,9.99,6.54,2.05,1.14,12.92,inches,0.11,pounds
VSS-UCS,X003RXU8ZF,B0C1BHDKRL,US,14.99,8.35,5.71,0.39,20.55,inches,0.02,pounds
VSF-AWE6W,X003RSOMXT,B0BZYSC7TB,US,45.99,9.69,9.57,7.28,43.39,inches,2.34,pounds
CFW-01x2,X003RSLUQV,B0BZYRLFGW,US,59.99,17.25,9,9,53.25,inches,6.7,pounds
332594J,X003RSA20L,B0BZXJGT3Z,US,99.99,14.17,10.08,7.24,48.81,inches,9.35,pounds
332593J,X003RS3BY5,B0BZY3BT6R,US,89.99,13.82,10.28,7.05,48.48,inches,8.97,pounds
WC-001,X003RKI8IR,B0BZS3N5WF,US,110.99,25.6,15,11.2,78,inches,21.6,pounds
WP-331,X003RK0OAR,B0BZRX7BL8,US,56.99,8.82,8.11,5.98,37,inches,6.2,pounds
GG-003,X003RIYP59,B0BZP2HFYS,US,107.99,44,16,5,86,inches,44.9,pounds
GG-001,X003RIYJV9,B0BZNYBZ1R,US,71.99,42.25,15,2.75,77.75,inches,21.38,pounds
GG-002,X003RIKDDH,B0BZP1SXN3,US,98.99,42.4,15.2,3.5,79.8,inches,34.75,pounds
304116-55G,X003RI1MUP,B07WFVVJ2K,US,199.99,61,11,7,97,inches,33,pounds
304113-105G,X003RI1M4V,B07WMW41D7,US,289.99,61,13,8.5,104,inches,71.5,pounds
304113-52G,X003RI1KVB,B07WK3Q372,US,169.99,60.5,10.2,6.3,93.5,inches,24.96,pounds
304116-44G,X003RHYS07,B07WMXJV9M,US,125.99,49,11.9,6,84.8,inches,25.4,pounds
304113-1010,X003RFNS87,B07GP6JZPF,US,399.99,60.5,19,9,116.5,inches,92,pounds
304114-32,X003RF588F,B07HQHG311,US,107.99,37.5,13.5,7,78.5,inches,23.55,pounds
304113-88,X003RF57WR,B07PDZ3TCS,US,349.99,49.5,19,9,105.5,inches,75,pounds
304114-54,X003REHDB1,B07HQRGL6P,US,179.99,49,13,8,91,inches,44.05,pounds
304114-94,X003REH9A1,B07PFVC3KN,US,242.99,49,13.5,9,94,inches,60,pounds
TC-0001,X003RCWAG1,B0BZC2VTXL,US,25.07,7.95,3.94,3.9,23.63,inches,0.99,pounds
GT-Pole,X003R48NMT,B0BYRBRX9V,US,35.99,29.1,4.5,3.2,44.5,inches,3.55,pounds
Spray-SX-CS8,X003R30QWP,B0BYNCZJ63,US,37.59,22.5,7.5,7.5,52.5,inches,3.75,pounds
Spray-SX-CS7,X003R2YRC1,B0BYNC8H6J,US,31.99,21.2,7.5,7.4,51,inches,3.45,pounds
VSA-100x2-HUB,X003QZ6S21,B09YHCNVGC,US,219.99,16.5,14.5,9,63.5,inches,17.2,pounds
GIY-SGS-448,X003QX3HH7,B0BY7Z72TR,US,719.99,49.5,18.5,15,116.5,inches,76,pounds
GIY-SGS-336,X003QWYCT5,B0BY7XVZFQ,US,467.99,38.5,14.5,14,95.5,inches,49.6,pounds
GIY-SGS-276,X003QWUL2R,B0BY7SRP8R,US,359.99,35,15.3,13.7,93,inches,45.1,pounds
GIY-SGS-425,X003QWTWOF,B0BY7VS8K9,US,449.99,50,15,14,108,inches,49,pounds
GIY-SGS-224,X003QWTBYB,B0BY7PSQ69,US,314.99,27,16,14.5,88,inches,38.55,pounds
TN-24,X003QU7V13,B0BY2CLYQQ,US,11.69,7.87,4.8,1.34,20.15,inches,0.24,pounds
TN-44,X003QU6FNX,B0BY2JKXC7,US,13.49,7.76,7.17,1.81,25.72,inches,0.44,pounds
TN-22,X003QU4CSD,B0BY2BGGN2,US,8.99,7.68,4.88,1.1,19.64,inches,0.2,pounds
304113-2014,X003QU1439,B0BY2HRPWQ,US,29.99,13.46,7.95,5.43,40.24,inches,3.75,pounds
TN-55,X003QU12LD,B0BY2DZJ8J,US,14.39,7.87,7.28,1.97,26.37,inches,0.53,pounds
TN-33,X003QTZL7Z,B0BY2CVFB9,US,12.59,7.95,4.72,1.54,20.47,inches,0.26,pounds
304113-22,X003QSBLPR,B07PK7J1XZ,US,74.99,25.4,10,6,57.4,inches,12.45,pounds
VS-THB1,X003QOPYY5,B0BXP47DZP,US,14.24,5.59,3.58,1.1,14.95,inches,0.33,pounds
VS-THB1S,X003QOMS49,B0BXP3XLLR,US,18.99,5.79,4.96,1.14,17.99,inches,0.46,pounds
VSA-200D,X003QOJGRV,B0BXNSDLT2,US,199.99,15.83,13.7,3.98,51.19,inches,9.02,pounds
VSV-AZT6E42A,X003QMNYOT,B0BMTK8J3P,US,109.19,13.19,10.16,9.96,53.43,inches,7.12,pounds
VSV-AZT4E42A,X003QMIKZ7,B0BQF568WN,US,109.99,12.8,9.69,7.8,47.78,inches,5.82,pounds
VSH-IS03,X003QJH99X,B0BXD9RK42,US,49.99,12.2,8.23,2.72,34.1,inches,2.1,pounds
RC-0002-4,X003Q21O0P,B0BW95Z36Q,US,15.19,11.5,4.65,3.66,28.11,inches,0.62,pounds
VSV-TF13,X003Q21DR9,B0BW93RPZW,US,32.99,15.39,6.06,5.91,39.33,inches,3.11,pounds
RC-0001-4,X003Q1X7NX,B0BW94JFT3,US,17.59,11.89,7.09,6.3,38.67,inches,1.34,pounds
SWS-001,X003PYLYLN,B0BW3XDMQG,US,22.49,11.46,7.99,5.79,39.02,inches,3.35,pounds
VSV-AZS4E42A,X003PUYWAR,B09YH6SZZF,US,109.99,14,10,8,50,inches,6.05,pounds
VSV-IFB8,X003PTB5HV,B0BVPYH3WM,US,39.99,9,8.2,8,41.4,inches,3.7,pounds
VSV-IFB4,X003PT4YIN,B0BVPW3B35,US,27.99,6.54,5.43,4.76,26.92,inches,1.81,pounds
VSV-IFB6,X003PSRTQN,B0BVQ3Y7QX,US,30.99,7.95,7.56,6.5,36.07,inches,3.17,pounds
330704-04X2,X003PS9XCV,B0BVM964Z8,US,9.99,7.68,7.56,1.26,25.32,inches,0.53,pounds
330705-05X2,X003PRLXB1,B0BVMBGMLK,US,12.79,7.99,7.24,2.13,26.73,inches,0.99,pounds
VGPF-1600,X003PMEZPH,B0BVB8FJKH,US,116.99,17.31,13,12.5,68.31,inches,11.05,pounds
VGPF-1100,X003PMCJ9B,B0BVB8VCYS,US,98.99,14.5,10.75,10.75,57.5,inches,7.6,pounds
VSH-IS02,X003PMBTW9,B0B96R2RC3,US,35.99,7.44,6.54,6.38,33.28,inches,2.56,pounds
AT-0004,X003PF3XKR,B0BV5YNH3X,US,21.99,9.88,6.97,6.85,37.52,inches,2.73,pounds
AT-0003,X003PEV4XL,B0BV61ZWCN,US,20.89,9.96,7.05,7.01,38.08,inches,2.73,pounds
WB-4x50,X003P4C0TN,B0BTY9K48W,US,34.99,16.5,13.94,5.04,54.46,inches,6.65,pounds
RB-0003B,X003P4BO27,B0BTYLTMMY,US,47.99,20,14,5.5,59,inches,10.9,pounds
RB-0003,X003P4BKIF,B0BTYKC28V,US,47.99,20,14,5.5,59,inches,11,pounds
RB-0001B,X003P4BFFN,B0BTYHN25X,US,33.59,27.5,5.75,5.62,50.24,inches,6.35,pounds
WB-4x100,X003P4ALD5,B0BTYB1YQT,US,59.99,47.8,6,6,71.8,inches,12.25,pounds
WB-3x250,X003P48MPJ,B0BTY3FJ6H,US,84.99,36.2,8.9,8.8,71.6,inches,24.65,pounds
RB-0002B,X003P48A65,B0BTYJPN3T,US,41.99,20.3,14.1,5.5,59.5,inches,9.9,pounds
LH-001,X003OYDYY9,B0BTM3RC2G,US,8.49,5.16,4.33,1.34,16.5,inches,0.37,pounds
SST-1-0001,X003OVGTDF,B0BTD741R3,US,39.99,15.2,10.12,5.39,46.22,inches,2.45,pounds
SST-2-0006,X003OUJFVT,B0BTD3HZLX,US,37.79,15,9.96,6.06,47.04,inches,4.74,pounds
PF-2600,X003LWXHOB,B0BS8WQHXW,US,179.99,21,15.8,15.6,83.8,inches,17.2,pounds
GH-E42A,X003LLRIR9,B0BS2BVL3Q,US,49.99,7.05,6.97,2.05,25.09,inches,1.61,pounds
304113-3018G,X003KYRGXX,B079DM1WCW,US,69.99,34.5,10,5,64.5,inches,11.5,pounds
304113-21,X003KYRF4N,B07VRSCVVC,US,62.99,37.2,10.2,5,67.6,inches,11.55,pounds
PS-5L,X003KIPYJ7,B0BPXQKZY7,US,37.99,16.93,9.61,7.76,51.67,inches,5.29,pounds
PS-10L,X003KINGTR,B0BPXQ3MXW,US,69.99,17,12.5,9,60,inches,6.8,pounds
GH-0001W,X003KI2FAX,B0BPWKSZGQ,US,99.99,53.75,15.75,6,97.25,inches,46.1,pounds
VSFD4500,X003KBBMHR,B0BPC8K1HW,US,359.99,42.91,8.9,7.48,75.67,inches,17.5,pounds
VSFD6500,X003K85V59,B0BP1Z4ZDR,US,429.99,44.1,8.5,7.4,75.9,inches,25.05,pounds
SP-002,X003J58FS3,B0BMZS51DL,US,49.99,10.16,8.82,7.56,42.92,inches,8.31,pounds
SP-001,X003J3VNMF,B0BMZS1YRD,US,52.99,10.12,8.62,7.64,42.64,inches,8.64,pounds
VSV-AZT4,X003IQNC4Z,B0BQF728P7,US,69.59,12.91,9.65,7.76,47.73,inches,4.92,pounds
VSV-AZT6,X003IQC773,B0BMV1W52R,US,84.99,13.3,10,9.8,52.9,inches,6.1,pounds
CBIN-H500,X003IJELIX,B0BMLG159J,US,59.99,36.5,6,6,60.5,inches,12.3,pounds
CBIN-H220,X003IJDL25,B0BML5MRRN,US,33.99,36.54,4.75,4.6,55.24,inches,8.55,pounds
CBIN-H300,X003IJCHAR,B0BML5NPXC,US,44.99,36.9,4.9,4.9,56.5,inches,9,pounds
PS-002X2,X003I8DM4D,B0BM8SK9QY,US,9.99,9.69,3.74,0.71,18.59,inches,0.31,pounds
CHTrimer-P-01J,X003H6WA17,B0BLHGXCVW,US,119.99,45,6.6,6.2,70.6,inches,9.8,pounds
LR-0003,X003H3FJDB,B0BLCWYXSF,US,85.49,32,12,4,64,inches,11.2,pounds
LR-0002,X003H3APNZ,B0BLC142KJ,US,72.19,22.4,11.12,3.6,51.84,inches,14.2,pounds
VSGB-25,X003H2OW5D,B0BL9XDQZL,US,28.99,17.8,12,4,49.8,inches,4.54,pounds
VSGB-10,X003H2OUUP,B0BL8TRX3H,US,23.99,11.81,9.21,3.27,36.77,inches,2.4,pounds
VSGB-7,X003H2OTTH,B0BLBQJ5J7,US,21.99,10.75,8.39,3.46,34.45,inches,2.07,pounds
VSGB-5,X003H2C2RN,B0BLBHZ6CS,US,20.99,11.61,7.44,2.76,32.01,inches,1.63,pounds
VSGB-15,X003H29LSB,B0BLBJ3YN1,US,25.99,13.27,11.26,4.65,45.09,inches,3.4,pounds
PS-002,X003GQOUS9,B0BKZTQZCN,US,6.99,8.5,2.76,0.55,15.12,inches,0.15,pounds
VSA150SE,X003GFM25N,B0BKPK5CKW,US,149.99,16.1,13.66,3.27,49.96,inches,6.9,pounds
VSA100SE,X003GFM181,B0BKPVFBKY,US,89.99,16.02,13.39,3.27,49.34,inches,6.04,pounds
VSA200SE,X003GFIKBX,B0BKPNRGCJ,US,159.99,15.86,13.7,3.7,50.66,inches,9.52,pounds
VSA200SE-E25,X003GFERRJ,B0BKPH1CZ6,US,199.99,16.02,13.5,3.58,50.18,inches,9.02,pounds
VSA150SE-E25,X003GFER5L,B0BKPKKWYK,US,123.49,16.1,13.58,3.31,49.88,inches,6.94,pounds
VSA100SE-E25,X003GFA3AT,B0BKP6QLTD,US,119.99,15.6,13.86,2.79,48.9,inches,6,pounds
GH-E25,X003GER6CN,B0BKP7VV1H,US,19.99,3.25,2.25,0.63,9.01,inches,0.05,pounds
CHTrimer-02J,X003FU7E2Z,B0BJV7B8BY,US,90.99,34.2,7.3,6.9,62.6,inches,8.7,pounds
RGB-0005,X003FRYC4L,B0BJNS85PG,US,68.39,49,11,6,83,inches,27.7,pounds
CP-0001,X003FGY63J,B0BHY2KYVG,US,49.99,12.2,8.78,6.73,43.22,inches,6.5,pounds
SST-H-0001,X003FFJLAN,B0BHW1FXK2,US,28.04,11.57,9.41,4.02,38.43,inches,2.31,pounds
AP-25,X003EKIAMT,B0BG2HJRGB,US,31.29,7.05,5.47,3.98,25.95,inches,2.67,pounds
AP-40,X003EI08VR,B0BG2GFRQJ,US,41.79,8.43,6.1,4.41,29.45,inches,4.74,pounds
AP-55,X003EHR8NT,B0BG2FG4H5,US,69.99,9.49,6.46,6.34,35.09,inches,7.65,pounds
AP-15,X003EHR4D3,B0BG2BT9RX,US,32.99,6.89,5.43,4.02,25.79,inches,2.36,pounds
VSS-EXHB,X003DZRPSP,B0BDRXF76P,US,7.99,6.77,4.72,0.43,17.07,inches,0.15,pounds
330705-05,X003DQA4Q9,B0BCVQ9CNP,US,9.47,6.61,6.22,1.1,21.25,inches,0.49,pounds
330704-04,X003DQ04EL,B0BCVM2P9K,US,6.39,6.77,6.3,0.71,20.79,inches,0.31,pounds
PB-10B,X003DLBDHD,B0BCG1FBV8,US,22.99,12.2,9.72,5.24,42.12,inches,3,pounds
PB-7B,X003DLBBRZ,B0BCFZVXCS,US,18.99,10.63,7.68,5.43,36.85,inches,2.09,pounds
307281-4J,X003DJ3H0L,B0BC88GQCL,US,41.99,9.35,9,8.5,44.35,inches,3.35,pounds
GB0104J,X003DIWMOJ,B0BC7MZ58T,US,31.99,13.75,13.55,8.5,57.85,inches,5,pounds
GB0103J-2J,X003DIRIDJ,B0BC7M13K2,US,41.99,13.8,13.2,12.6,65.4,inches,9,pounds
GB0103J,X003DIR96Z,B0BC7JLWH4,US,31.99,13.5,13.5,8.75,58,inches,4.7,pounds
HM003J,X003DEYP6B,B0BBYX2XZ9,US,39.99,8.25,4.38,4.38,25.77,inches,1.55,pounds
PH007,X003DCRADN,B0BBVT3P6G,US,31.34,8.35,3.27,2.05,18.99,inches,0.35,pounds
PL-0003,X003CWZAY5,B0BB78XGNK,US,48.99,17.87,13.5,5.94,56.75,inches,15.76,pounds
PL-0002,X003CWX6AZ,B0BB7C3V4H,US,28.99,15.12,12.01,3.5,46.14,inches,8.29,pounds
PL-0001,X003CWSORP,B0BB799H1L,US,18.99,14.68,11.69,2.4,42.86,inches,3.97,pounds
307282-2J,X003CMZS1P,B0B9GVFMCD,US,19.99,8.15,7.24,5.08,32.79,inches,1.72,pounds
304114-43,X003CI14ZN,B07HQMX3S1,US,135.99,49,13.3,7.3,90.2,inches,33.3,pounds
304116-84,X003CHTSVL,B07RXPHCSR,US,219.99,49.5,13,8,91.5,inches,42.9,pounds
