?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
MGG-GH-RH25,X004G6USV1,B0DLG3TD7R,US,21.99,11.57,11.46,4.41,43.31,inches,4.14,pounds
MGG-GH-RH75,X004G6SNGX,B0DLG2NDM2,US,44.99,15,15,5.28,55.56,inches,10.7,pounds
MGG-GH-RH50,X004G6SNGN,B0DLG5PMW9,US,27.99,14.25,14.25,4.5,51.75,inches,7.14,pounds
MGG-GH-RH100,X004G6M9TF,B0DLG589WW,US,47.99,16.69,16.25,6,61.19,inches,13.9,pounds
COMBO-02NJ,X004FB5KS3,B0DFBFGGN1,US,26.59,13.27,5.24,2.09,27.93,inches,0.71,pounds
VSE-ASH09,X004FAK59N,B0DJV658NX,US,99.99,17.52,13.89,7.56,60.42,inches,7.3,pounds
VSC-GCC4,X004ETM2XR,B0D8PQQWM3,US,49.99,4.21,3.78,2.52,16.81,inches,0.57,pounds
VSE-ASH05,X004EF01YX,B0DHGP2JQ8,US,59.99,14.92,8.98,7.83,48.54,inches,4.32,pounds
VSV-IFM4,X004E0DAZP,B0DGGCP1J5,US,39.99,9.61,8.7,7.72,42.45,inches,2.54,pounds
VSF-AWE6W-G2x2,X004DZX1NR,B0C6JR9Y9D,US,79.99,19,9.5,7.4,52.8,inches,4.55,pounds
MGS-PS10W6,X004DTI9XP,B0DG1JJFYP,US,16.99,9.84,9.8,2.32,34.08,inches,1.26,pounds
MGS-PS10G6,X004DTI9WV,B0DG19HSPL,US,16.99,9.65,9.53,2.24,33.19,inches,1.23,pounds
MGS-PS10S6,X004DTI9WB,B0DG12CH5G,US,16.99,9.84,9.65,2.28,33.7,inches,1.21,pounds
MGS-PS10B6,X004DTH5DZ,B0DG1CKTH2,US,16.99,9.76,9.69,2.24,33.62,inches,1.32,pounds
MGS-PS8B6,X004DTH5DF,B0DG1JKQWZ,US,12.99,8.74,8.58,2.05,30,inches,1.01,pounds
MGS-PS12W6,X004DT8ZCZ,B0DG1VG2N1,US,21.99,11.81,11.73,2.24,39.75,inches,1.9,pounds
MGS-PS12G6,X004DT8ZBV,B0DG1KNKYD,US,21.99,11.73,11.73,2.24,39.67,inches,1.85,pounds
MGS-PS12S6,X004DT8ZBL,B0DG1FSVZM,US,21.99,11.81,11.73,2.24,39.75,inches,1.92,pounds
MGS-PS8G6,X004DT8Z6L,B0DG1PNBDW,US,12.99,8.78,8.62,1.97,29.96,inches,0.95,pounds
MGS-PS8W6,X004DT5MXP,B0DG1TKSHV,US,12.99,8.27,8.27,1.18,27.17,inches,0.9,pounds
MGG-WGGNAM,X004DS84I1,B0DFY752QC,US,9.99,10.16,3.98,1.18,20.48,inches,0.09,pounds
MGG-WGGNAL,X004DS84HR,B0DFY7ZF53,US,11.99,9.84,4.02,1.26,20.4,inches,0.11,pounds
MGG-WGGYAM,X004DS0IML,B0DFY7FMPC,US,13.99,9.49,4.09,1.1,19.87,inches,0.09,pounds
MGG-WGGNBL,X004DRYCDD,B0DFY8QDMQ,US,12.99,10,4.92,1.42,22.68,inches,0.11,pounds
WB-1.5x50,X004DM2CET,B0DFL5WMH8,US,11.89,18.58,4.29,4.13,35.42,inches,2.67,pounds
VSF-AWE6-G2,X004DC9D3H,B0BP1Y3CRM,US,45.99,9.69,9.53,7.36,43.47,inches,2.38,pounds
VSF-AWE6-G2x2,X004DC20DH,B0BZYVVKQB,US,79.99,18.9,9.5,7.28,52.46,inches,4.55,pounds
332967-25,X004DC0WX7,B0DF2HNHZX,US,7.19,7.13,2.91,1.26,15.47,inches,1.01,pounds
SWS-003,X004D3UN5N,B0DDKGQHT3,US,17.99,8.23,8.07,5.67,35.71,inches,1.9,pounds
VSV-WVK4,X004D3MSHT,B0DDKNBV3D,US,31.99,17.4,7.32,4.41,40.86,inches,5.36,pounds
VSV-WVK3,X004D3MRL1,B0DDKLX3FZ,US,34.39,17.28,7.64,7.28,47.12,inches,6.77,pounds
GH-A10,X004CK8471,B0DCG2W5TX,US,19.99,2.68,2.28,1.65,10.54,inches,0.15,pounds
VSS-SP-3456L40,X004CJOX95,B0DCFFQ66D,US,17.99,13.89,6.38,6.3,39.25,inches,2.48,pounds
VSS-SP-456L36,X004CJNU3Z,B0DCFNHLNM,US,17.99,14.22,6.62,6.3,40.06,inches,2.7,pounds
VSEX-HID1-ST,X004CHWTSJ,B0DCBLL6KN,US,139.99,14,10,9.5,53,inches,8.3,pounds
WMM-0001,X004C51W61,B0DBGZXYR6,US,26.99,8.58,3.62,2.01,19.84,inches,0.57,pounds
NB-003J,X004BPMUHR,B0D9NDKB8T,US,107.99,12,9.5,9,49,inches,20,pounds
VSH-HCP08,X004BNMS8Z,B0D9LM52X7,US,15.99,8.58,6.42,1.14,23.7,inches,0.24,pounds
VSH-HCP04,X004BNMS8P,B0D9LJZ2XT,US,11.99,7.2,5.24,1.02,19.72,inches,0.33,pounds
VSG-PPS-05G,X004BM7Y0N,B0D9K3X49G,US,26.99,17.09,9.92,7.32,51.57,inches,3,pounds
VSG-FWT-110B,X004BEW4U1,B0D976XCDW,US,31.99,11,9.1,3.9,37,inches,4,pounds
VSG-FWT-400B,X004BEW1GD,B0D976KQ24,US,49.99,11.8,11.8,3.9,43.2,inches,7,pounds
VSG-FWT-540B,X004BEMJ8X,B0D97767J9,US,47.99,15.71,11.18,7.48,53.03,inches,9.94,pounds
