?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
MGN-GSAM,X004MB4IQL,B0F29BDRW4,US,Amazon,15.19,15.19,10,4.88,0.71,21.18,inches,0.15,pounds,小号标准尺寸,0.15,小号标准尺寸,0.15,0.84,7.34,10.7,3.15,3.34,3.42
MGN-GSCM,X004MB4IO3,B0F29CDCQL,US,Amazon,15.19,15.19,10.08,4.61,0.75,20.8,inches,0.15,pounds,小号标准尺寸,0.15,小号标准尺寸,0.15,0.84,7.34,10.7,3.15,3.34,3.42
MGN-GSDM,X004MB4ILB,B0F29D1XK3,US,Amazon,15.99,15.99,9.96,4.61,0.75,20.68,inches,0.15,pounds,小号标准尺寸,0.15,小号标准尺寸,0.15,0.84,7.34,10.7,3.15,3.34,3.42
MGN-GSBM,X004MB2VLP,B0F29BY95Q,US,Amazon,7.59,7.99,9.69,4.65,0.63,20.25,inches,0.18,pounds,小号标准尺寸,0.18,小号标准尺寸,0.18,0.84,7.34,10.7,2.38,2.57,2.49
MGN-GSAL,X004MB26P1,B0F29CLH8P,US,Amazon,15.19,15.19,10.08,4.88,0.63,21.1,inches,0.33,pounds,小号标准尺寸,0.33,小号标准尺寸,0.33,0.84,7.51,10.83,3.24,3.44,3.45
MGN-GSDL,X004MA0ODX,B0F29G21Z9,US,Amazon,15.99,15.99,9.8,5.87,0.71,22.96,inches,0.15,pounds,小号标准尺寸,0.15,小号标准尺寸,0.15,0.84,7.34,10.7,3.15,3.34,3.42
MGN-GSCL,X004MA0ODD,B0F299P48G,US,Amazon,15.19,15.19,9.53,4.8,0.91,20.95,inches,0.13,pounds,大号标准尺寸,0.299,大号标准尺寸,0.299,0.84,7.72,11.59,3.9,4.16,3.95
MGG-GS12-U20J,X004LFBGOZ,B0DZ5D9KGX,US,Amazon,39.99,39.99,14.9,3.9,2.7,28.1,inches,6.92,pounds,大号标准尺寸,6.92,大号标准尺寸,6.92,8.11,14.49,16.84,8.17,8.71,8.22
MGG-GS12-J20J,X004LFBGHH,B0DZ5B6RZT,US,Amazon,29.99,29.99,14.9,3.9,2.7,28.1,inches,4.63,pounds,大号标准尺寸,4.63,大号标准尺寸,4.63,5.68,12.89,15.26,7.44,7.98,7.49
MGG-GS12-U10J,X004LF25N1,B0DZ4TZKST,US,Amazon,22.49,22.49,13.46,4.25,1.77,25.5,inches,5.69,pounds,大号标准尺寸,5.69,大号标准尺寸,5.69,6.8,13.63,16,7.78,8.32,7.83
MGG-GS12-J10J,X004LF1H7B,B0DZ51C9CL,US,Amazon,19.99,19.99,13.46,4.41,1.57,25.42,inches,3.46,pounds,大号标准尺寸,3.46,大号标准尺寸,3.46,4.44,12.07,14.46,7.07,7.61,7.12
GIY-SGS-558,X004L8439H,B0DYNWLN28,US,Amazon,1299.99,1299.99,61,27,18,151,inches,103,pounds,超大件(>150磅),103,超大件(>150磅),103,112.9,359.22,402.5,206.78,215.29,206.78
VSI-FFSW6GB5-4,X004L1IY1R,B0DY727GJQ,US,Amazon,75.99,75.99,15.1,15,7.55,60.2,inches,11.1,pounds,大号大件,12.303,小号大件,12.303,16.76,25.81,27.48,13.91,14.95,11.85
VSA-GGD2J,X004L1HZHL,B0DY71KW95,US,Amazon,32.99,32.99,6.89,5.31,3.54,24.59,inches,0.51,pounds,大号标准尺寸,0.932,大号标准尺寸,0.932,1.53,8.93,13.12,4.55,4.84,4.6
VSL-T51F-8,X004JLNW39,B0DTK4ZF3C,US,Amazon,39.59,39.59,12.76,7.72,2.44,33.08,inches,2.6,pounds,大号标准尺寸,2.6,大号标准尺寸,2.6,3.53,11.75,14.14,6.21,6.61,6.26
VSL-T51F-4,X004JLJR6F,B0DTK2BZSS,US,Amazon,26.99,26.99,12.28,4.06,2.36,25.12,inches,1.28,pounds,大号标准尺寸,1.28,大号标准尺寸,1.28,2.27,10.64,13.45,5.37,5.68,5.42
VSG-PPS-06WG,X004IXJPHP,B0DSD11B76,US,Amazon,33.14,33.14,19,7.25,7,47.5,inches,3.05,pounds,大号大件,6.937,小号大件,6.937,10.04,21.78,23.45,11.87,12.91,9.81
MGN-MP48,X004HY2R89,B0DQ81NLQL,US,Amazon,19.99,19.99,12.83,4.92,3.98,30.63,inches,1.41,pounds,大号标准尺寸,1.807,大号标准尺寸,1.807,2.27,10.64,13.45,5.77,6.1,5.82
MGN-MP28,X004HXYH2J,B0DQ7VCK55,US,Amazon,15.99,15.99,13.71,4.01,2.95,27.63,inches,0.99,pounds,大号标准尺寸,1.167,大号标准尺寸,1.167,2.27,10.64,13.45,4.99,5.29,5.04
VSL-T52F-4,X004HU470T,B0DPYWYZ8B,US,Amazon,31.99,31.99,23.5,3,2.5,34.5,inches,1.75,pounds,大号大件,1.75,小号大件,1.75,4.3,17.89,19.56,9.89,10.94,7.83
VSL-T52F-8,X004HTZAKV,B0DPYVQQNP,US,Amazon,53.99,53.99,24,6,2.5,41,inches,3.5,pounds,大号大件,3.5,小号大件,3.5,6.36,19.2,20.88,10.56,11.6,8.5
VSG-BR280g15X40G,X004HSP40X,B0DPWMLZCV,US,Amazon,21.99,21.99,17.76,7.68,5.2,43.52,inches,2.85,pounds,大号标准尺寸,5.103,大号标准尺寸,5.103,6.18,13.22,15.59,7.59,8.13,7.64
VSG-BR280g63X15G,X004HSNV1H,B0DPWKM32Y,US,Amazon,24.99,24.99,11.61,9.57,3.98,38.71,inches,4.37,pounds,大号标准尺寸,4.37,大号标准尺寸,4.37,5.4,12.71,15.09,7.36,7.9,7.41
GG-005,X004HKC0T9,B0DPGZSJ8D,US,Amazon,80.99,80.99,43.25,10.25,4.5,72.75,inches,19.45,pounds,大号大件,19.45,大号大件,19.45,24.34,31.87,33.57,16.62,17.66,16.36
GG-004,X004HK745T,B0DPGZM859,US,Amazon,59.39,59.39,43,10.5,3,70,inches,13.5,pounds,大号大件,13.5,大号大件,13.5,18.03,27.29,28.98,14.36,15.4,14.1
VSL-LRSF50-4,X004HJ9PGV,B0DPFXS6PT,US,Amazon,89.99,89.99,19.65,9.53,2.52,43.75,inches,3.24,pounds,大号大件,3.395,小号大件,3.395,6.36,19.13,20.8,10.52,11.56,8.46
VSL-LRSF50-8,X004HJ6HNP,B0DPFYQGVD,US,Amazon,169.99,169.99,19.75,9.5,4.5,47.75,inches,6.2,pounds,大号大件,6.2,小号大件,6.2,10.04,21.23,22.9,11.59,12.63,9.53
VSE-VT001,X004H95LN7,B0DP28GKWJ,US,Amazon,26.59,26.59,7.44,4.8,2.2,21.44,inches,2.12,pounds,大号标准尺寸,2.12,大号标准尺寸,2.12,3.02,11.75,14.14,5.87,6.24,5.92
VSV-IFP4,X004H4JKIJ,B0DNSXRYR4,US,Amazon,18.99,18.99,6.85,6.54,4.61,29.15,inches,1.12,pounds,大号标准尺寸,1.486,大号标准尺寸,1.486,2.27,10.64,13.45,5.37,5.68,5.42
VSV-IFP4C,X004H4JKF7,B0DNSXKN4G,US,Amazon,28.99,28.99,6.85,6.57,4.61,29.21,inches,1.15,pounds,大号标准尺寸,1.493,大号标准尺寸,1.493,2.27,10.64,13.45,5.37,5.68,5.42
VSV-IFP6C,X004H4ENH7,B0DNSVKPYX,US,Amazon,33.99,33.99,8.54,7.76,6.81,37.68,inches,1.85,pounds,大号标准尺寸,3.247,大号标准尺寸,3.247,4.21,11.92,14.31,7,7.54,7.05
VSV-IFP6,X004H4DM3D,B0DNSTPM97,US,Amazon,22.99,22.99,8.7,7.8,6.89,38.08,inches,1.83,pounds,大号标准尺寸,3.364,大号标准尺寸,3.364,4.34,12,14.39,7.04,7.58,7.09
VSA-AG-3B3,X004GPR6A3,B0DMSSYRHL,US,Amazon,30.99,30.99,10.24,10.12,5.51,41.5,inches,1.96,pounds,大号标准尺寸,4.108,大号标准尺寸,4.108,5.12,12.53,14.9,7.27,7.81,7.32
VSA-AG-7B3,X004GPPMT5,B0DMSQGS5H,US,Amazon,41.99,41.99,15.5,11.9,7.6,54.5,inches,3.5,pounds,大号标准尺寸,10.085,大号标准尺寸,10.085,11.46,16.71,19.03,9.19,9.73,9.24
VSA-AG-5B3,X004GPM0MH,B0DMSRJRW4,US,Amazon,35.99,35.99,13.19,12.09,6.61,50.59,inches,2.82,pounds,大号标准尺寸,7.583,大号标准尺寸,7.583,8.81,14.96,17.3,8.39,8.93,8.44
332025J,X004G8YX97,B0DLKWJXSV,US,Amazon,19.99,19.99,4.06,2.68,2.36,14.14,inches,0.33,pounds,大号标准尺寸,0.33,大号标准尺寸,0.33,0.84,7.72,11.59,3.9,4.16,3.95
